"unix_time","race","arstmade","lat","lng"
1309592880,"B","N",40.711534,-74.010464
1309673820,"B","N",40.711534,-74.010464
1309673520,"B","N",40.711534,-74.010464
1309670460,"B","N",40.711534,-74.010464
1309498500,"Q","N",40.711534,-74.010464
1309496280,"B","N",40.711534,-74.010464
1309504860,"B","N",40.711534,-74.010464
1309563540,"Q","N",40.711534,-74.010464
1309716900,"Q","N",40.712064,-74.010154
1309655520,"B","N",40.714631,-74.008964
1309592400,"B","N",40.709531,-74.008418
1309592400,"B","N",40.709531,-74.008418
1309592400,"B","N",40.709531,-74.008418
1309542000,"B","N",40.723022,-73.998813
1309708200,"B","N",40.719904,-74.002601
1309722600,"B","N",40.719904,-74.002601
1309572900,"B","N",40.72584,-74.007558
1309721700,"W","N",40.719577,-74.002153
1309721700,"W","N",40.719577,-74.002153
1309721700,"W","N",40.719577,-74.002153
1309834380,"B","N",40.706707,-74.00233
1309834380,"B","N",40.706707,-74.00233
1309878780,"B","N",40.720628,-74.005209
1309563480,"W","N",40.711534,-74.010464
1309885200,"B","N",40.718273,-74.005324
1309504260,"W","N",40.711534,-74.010464
1309500240,"B","N",40.711534,-74.010464
1309540200,"W","Y",40.703588,-74.013113
1309837800,"B","N",40.720628,-74.005209
1309581840,"B","N",40.711534,-74.010464
1309584900,"B","N",40.711534,-74.010464
1309585800,"B","N",40.711534,-74.010464
1309590600,"B","N",40.711534,-74.010464
1309592100,"B","N",40.711534,-74.010464
1309596840,"B","Y",40.711534,-74.010464
1309632300,"W","N",40.70148,-74.012543
1309632300,"W","N",40.70148,-74.012543
1309919820,"W","N",40.722385,-74.003766
1309915200,"B","N",40.71022,-74.007744
1310065620,"B","N",40.719396,-74.001883
1310064420,"B","N",40.719396,-74.001883
1310142000,"B","N",40.70148,-74.012543
1309668720,"B","N",40.711534,-74.010464
1310137800,"B","N",40.70148,-74.012543
1310139660,"B","N",40.70148,-74.012543
1310082900,"Q","N",40.711534,-74.010464
1310085060,"Q","N",40.711534,-74.010464
1310087040,"W","N",40.720628,-74.005209
1310230920,"B","N",40.704557,-74.014257
1310228280,"W","N",40.70148,-74.012543
1310120280,"B","N",40.720628,-74.005209
1310020080,"B","N",40.703588,-74.013113
1310054400,"B","N",40.70148,-74.012543
1310080200,"W","N",40.711534,-74.010464
1310064300,"P","N",40.711534,-74.010464
1310194080,"Q","N",40.711534,-74.010464
1310192700,"B","N",40.711534,-74.010464
1310191920,"B","N",40.720628,-74.005209
1310188200,"B","N",40.711534,-74.010464
1310187240,"B","N",40.711534,-74.010464
1310064900,"B","N",40.711534,-74.010464
1310066100,"B","N",40.711534,-74.010464
1310068200,"B","N",40.704557,-74.014257
1310068800,"B","N",40.704557,-74.014257
1310070600,"B","N",40.70148,-74.012543
1310071620,"W","N",40.70148,-74.012543
1310072400,"B","N",40.70148,-74.012543
1310143200,"Q","N",40.72455,-73.997528
1309541100,"B","N",40.702795,-74.012219
1310074200,"B","N",40.717661,-74.007535
1310089800,"B","N",40.702408,-74.012825
1310096940,"B","N",40.728604,-74.005314
1310096940,"B","N",40.728604,-74.005314
1310096940,"B","N",40.728604,-74.005314
1310096940,"B","N",40.728604,-74.005314
1310091420,"B","N",40.725511,-74.004029
1310091420,"B","N",40.725511,-74.004029
1310000400,"B","N",40.710535,-74.009378
1310105400,"B","N",40.712981,-74.0073
1310409600,"P","N",40.723022,-73.998813
1310384400,"P","N",40.72032,-74.012179
1310385300,"Q","N",40.72032,-74.012179
1310155800,"W","Y",40.708172,-74.006463
1309887900,"B","N",40.70148,-74.012543
1310132880,"Q","N",40.723085,-74.000948
1310269500,"B","N",40.708457,-74.017399
1310269500,"B","N",40.708457,-74.017399
1310254440,"B","N",40.705867,-74.003765
1310257080,"W","N",40.711502,-74.006766
1310260500,"W","N",40.704371,-74.006304
1310257080,"B","N",40.711502,-74.006766
1310288100,"B","N",40.704557,-74.014257
1310395200,"B","N",40.706278,-74.011188
1309963800,"B","N",40.720628,-74.005209
1309968900,"P","N",40.704557,-74.014257
1310187420,"W","N",40.708693,-74.012357
1309649640,"B","N",40.705867,-74.003765
1310366040,"P","Y",40.720409,-74.00329
1310366040,"Q","Y",40.720409,-74.00329
1309958400,"W","N",40.70148,-74.012543
1309990500,"A","Y",40.710327,-74.009544
1309996200,"Q","N",40.722585,-74.006353
1310404500,"B","N",40.706009,-74.01315
1310419080,"A","N",40.719467,-74.004372
1310419080,"B","N",40.719467,-74.004372
1310419080,"B","N",40.719467,-74.004372
1310500800,"B","N",40.710327,-74.009544
1310490960,"B","N",40.70148,-74.012543
1310532300,"W","N",40.714927,-74.007939
1310521200,"B","N",40.710887,-74.00906
1310527200,"B","N",40.724841,-74.007742
1310544000,"B","Y",40.71137,-74.008613
1310529900,"B","N",40.705092,-74.016453
1310255700,"B","N",40.72084,-74.00066
1310254500,"B","N",40.72084,-74.00066
1310254500,"B","N",40.72084,-74.00066
1310254500,"B","N",40.72084,-74.00066
1310626620,"B","N",40.711534,-74.010464
1310627940,"B","N",40.711534,-74.010464
1310629140,"B","N",40.711534,-74.010464
1310617200,"W","N",40.721995,-74.002972
1310617200,"A","N",40.721995,-74.002972
1310605800,"W","N",40.726933,-73.999917
1310613900,"B","N",40.725431,-73.99677
1310656500,"Q","N",40.720628,-74.005209
1310654400,"B","N",40.70148,-74.012543
1310657400,"Q","N",40.713135,-74.004058
1310671800,"B","N",40.70148,-74.012543
1310670000,"B","N",40.704557,-74.014257
1310656200,"B","N",40.707755,-74.011704
1310661480,"Q","N",40.710327,-74.009544
1310665200,"B","N",40.710327,-74.009544
1310770800,"Q","N",40.722585,-74.006353
1310772300,"B","N",40.728604,-74.005314
1310666400,"B","N",40.710368,-74.011232
1310665680,"B","N",40.710327,-74.009544
1310937540,"B","N",40.712775,-74.01169
1310927400,"B","N",40.720628,-74.005209
1310927400,"B","N",40.720628,-74.005209
1310389800,"B","N",40.70148,-74.012543
1310392920,"B","N",40.703588,-74.013113
1310685300,"W","N",40.70148,-74.012543
1310664900,"B","N",40.716302,-74.010966
1310609700,"B","N",40.722253,-74.005912
1310671500,"B","N",40.719154,-74.002092
1310583060,"Q","Y",40.725006,-73.999343
1310583060,"B","Y",40.725006,-73.999343
1310697780,"B","N",40.727663,-74.003153
1310623800,"B","N",40.719154,-74.002092
1310785200,"B","N",40.710804,-74.007758
1310789100,"B","N",40.712531,-74.007665
1310824920,"A","N",40.719747,-74.002395
1310839080,"A","N",40.706852,-74.005002
1310679900,"B","Y",40.7223,-73.999437
1310679900,"B","Y",40.7223,-73.999437
1310948100,"B","N",40.719154,-74.002092
1310433840,"B","N",40.709045,-74.008891
1310803800,"W","N",40.723282,-74.008001
1310705040,"W","N",40.724399,-74.001594
1310914200,"Q","N",40.723601,-73.999953
1310812200,"B","N",40.709808,-74.013778
1310809020,"A","N",40.706637,-74.012631
1310765880,"B","N",40.720664,-74.000822
1310534400,"W","N",40.719777,-74.004112
1310534400,"B","N",40.719777,-74.004112
1310100300,"W","N",40.726142,-74.005693
1310801400,"Q","N",40.726861,-74.007381
1310534400,"W","N",40.719777,-74.004112
1310719200,"B","N",40.70767,-74.003109
1310719200,"B","N",40.70767,-74.003109
1310719200,"B","N",40.70767,-74.003109
1311090360,"B","N",40.710327,-74.009544
1310753400,"B","N",40.720628,-74.005209
1311210600,"B","N",40.71022,-74.007744
1311208020,"W","N",40.71022,-74.007744
1311222240,"B","N",40.723422,-73.99961
1311222240,"Q","N",40.723422,-73.99961
1311087600,"W","N",40.704557,-74.014257
1311110700,"P","Y",40.725797,-73.997611
1311093300,"B","N",40.725431,-73.99677
1311280200,"I","N",40.719904,-74.002601
1311280200,"B","N",40.719396,-74.001883
1311092700,"B","N",40.725431,-73.99677
1311092700,"B","N",40.725431,-73.99677
1311293700,"B","N",40.720573,-74.000898
1310592600,"B","N",40.720557,-74.00351
1310409360,"B","N",40.711534,-74.010464
1310661900,"A","N",40.722585,-74.006353
1311271200,"Q","N",40.722585,-74.006353
1311269700,"B","N",40.70148,-74.012543
1311293520,"B","N",40.720628,-74.005209
1311401520,"W","N",40.711534,-74.010464
1311407220,"B","N",40.711534,-74.010464
1311382440,"B","N",40.71022,-74.007744
1311380400,"W","N",40.70148,-74.012543
1311405780,"B","N",40.711534,-74.010464
1311398580,"B","N",40.711534,-74.010464
1311383520,"B","N",40.71552,-74.009238
