month,date,rise,set
1,1,07:20,16:39
1,2,07:20,16:40
1,3,07:20,16:41
1,4,07:20,16:41
1,5,07:20,16:42
1,6,07:20,16:43
1,7,07:20,16:44
1,8,07:20,16:45
1,9,07:20,16:46
1,10,07:19,16:47
1,11,07:19,16:48
1,12,07:19,16:49
1,13,07:18,16:51
1,14,07:18,16:52
1,15,07:18,16:53
1,16,07:17,16:54
1,17,07:17,16:55
1,18,07:16,16:56
1,19,07:16,16:57
1,20,07:15,16:58
1,21,07:15,17:00
1,22,07:14,17:01
1,23,07:13,17:02
1,24,07:13,17:03
1,25,07:12,17:04
1,26,07:11,17:06
1,27,07:10,17:07
1,28,07:10,17:08
1,29,07:09,17:09
1,30,07:08,17:11
1,31,07:07,17:12
2,1,07:06,17:13
2,2,07:05,17:14
2,3,07:04,17:15
2,4,07:03,17:17
2,5,07:02,17:18
2,6,07:01,17:19
2,7,07:00,17:20
2,8,06:59,17:22
2,9,06:57,17:23
2,10,06:56,17:24
2,11,06:55,17:25
2,12,06:54,17:27
2,13,06:53,17:28
2,14,06:51,17:29
2,15,06:50,17:30
2,16,06:49,17:31
2,17,06:47,17:33
2,18,06:46,17:34
2,19,06:45,17:35
2,20,06:43,17:36
2,21,06:42,17:37
2,22,06:40,17:39
2,23,06:39,17:40
2,24,06:38,17:41
2,25,06:36,17:42
2,26,06:35,17:43
2,27,06:33,17:44
2,28,06:32,17:45
3,1,06:30,17:47
3,2,06:29,17:48
3,3,06:27,17:49
3,4,06:25,17:50
3,5,06:24,17:51
3,6,06:22,17:52
3,7,06:21,17:53
3,8,06:19,17:55
3,9,06:18,17:56
3,10,06:16,17:57
3,11,06:14,17:58
3,12,06:13,17:59
3,13,06:11,18:00
3,14,06:09,18:01
3,15,06:08,18:02
3,16,06:06,18:03
3,17,06:05,18:04
3,18,06:03,18:05
3,19,06:01,18:06
3,20,06:00,18:07
3,21,05:58,18:09
3,22,05:56,18:10
3,23,05:55,18:11
3,24,05:53,18:12
3,25,05:51,18:13
3,26,05:50,18:14
3,27,05:48,18:15
3,28,05:46,18:16
3,29,05:45,18:17
3,30,05:43,18:18
3,31,05:41,18:19
4,1,05:40,18:20
4,2,05:38,18:21
4,3,05:36,18:22
4,4,05:35,18:23
4,5,05:33,18:24
4,6,05:32,18:25
4,7,05:30,18:26
4,8,05:28,18:27
4,9,05:27,18:29
4,10,05:25,18:30
4,11,05:24,18:31
4,12,05:22,18:32
4,13,05:20,18:33
4,14,05:19,18:34
4,15,05:17,18:35
4,16,05:16,18:36
4,17,05:14,18:37
4,18,05:13,18:38
4,19,05:11,18:39
4,20,05:10,18:40
4,21,05:08,18:41
4,22,05:07,18:42
4,23,05:06,18:43
4,24,05:04,18:44
4,25,05:03,18:45
4,26,05:01,18:46
4,27,05:00,18:47
